Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Androedae,00 08 23.17,+29 05 27.0,2.07,Androeda
Beta Androedae,01 09 43.80,+35 37 15.0,2.07,Androeda
Gaa Androedae,02 03 53.92,+42 19 47.5,2.1,Androeda
Delta Androedae,00 39 19.60,+30 51 40.4,3.27,Androeda
Androeda Galaxy,00 42 44.31,+41 16 09.4,3.44,Androeda
51 Androedae,01 37 59.50,+48 37 42.6,3.59,Androeda
Oicron Androedae,23 01 55.25,+42 19 33.5,3.62,Androeda
Labda Androedae,23 37 33.71,+46 27 33.0,3.81,Androeda
u Androedae,00 56 45.10,+38 29 57.3,3.86,Androeda
Zeta Androedae,00 47 20.39,+24 16 02.6,4.08,Androeda
Upilon Androedae,01 36 47.98,+41 24 23.0,4.1,Androeda
Kappa Androedae,23 40 24.44,+44 20 02.3,4.15,Androeda
Phi Androedae,01 09 30.12,+47 14 30.6,4.26,Androeda
Iota Androedae,23 38 08.18,+43 16 05.1,4.29,Androeda
Pi Androedae,00 36 52.84,+33 43 09.7,4.34,Androeda
Epilon Androedae,00 38 33.50,+29 18 44.5,4.34,Androeda
Eta Androedae,00 57 12.43,+23 25 03.9,4.4,Androeda
iga Androedae,00 18 19.71,+36 47 07.2,4.51,Androeda
Nu Androedae,00 49 48.83,+41 04 44.2,4.53,Androeda
7 Androedae,23 12 32.92,+49 24 21.5,4.53,Androeda
Theta Androedae,00 17 05.54,+38 40 54.0,4.61,Androeda
3 Androedae,23 04 10.83,+50 03 06.1,4.64,Androeda
65 Androedae,02 25 37.40,+50 16 43.2,4.73,Androeda
58 Androedae,02 08 29.15,+37 51 33.1,4.78,Androeda
8 Androedae,23 17 44.62,+49 00 55.0,4.82,Androeda
Oega Androedae,01 27 39.09,+45 24 25.0,4.83,Androeda
Gaa Androedae,02 03 54.70,+42 19 51.0,4.84,Androeda
60 Androedae,02 13 13.34,+44 13 54.1,4.84,Androeda
Xi Androedae,01 22 20.39,+45 31 43.5,4.87,Androeda
Tau Androedae,01 40 34.80,+40 34 37.6,4.96,Androeda
HD 10307,01 41 46.52,+42 36 49.7,4.96,Androeda
Pi Androedae,23 46 02.04,+46 25 13.0,4.97,Androeda
22 Androedae,00 10 19.24,+46 04 20.2,5.01,Androeda
Chi Androedae,01 39 21.02,+44 23 10.1,5.01,Androeda
41 Androedae,01 08 00.72,+43 56 32.1,5.04,Androeda
2 Androedae,23 02 36.34,+42 45 28.1,5.09,Androeda
V428 Androedae,00 36 46.47,+44 29 18.6,5.14,Androeda
Rho Androedae,00 21 07.23,+37 58 07.3,5.16,Androeda
64 Androedae,02 24 24.89,+50 00 23.9,5.19,Androeda
28 Androedae,00 30 07.34,+29 45 06.1,5.2,Androeda
14 Androedae,23 31 17.20,+39 14 11.0,5.22,Androeda
49 Androedae,01 30 06.10,+47 00 26.6,5.27,Androeda
32 Androedae,00 41 07.20,+39 27 31.2,5.3,Androeda
4 Androedae,23 07 39.28,+46 23 14.3,5.3,Androeda
6 Perei,02 13 36.02,+51 03 58.4,5.31,Androeda
62 Androedae,02 19 16.85,+47 22 48.0,5.31,Androeda
18 Androedae,23 39 08.35,+50 28 18.3,5.35,Androeda
55 Androedae,01 53 17.35,+40 43 47.3,5.42,Androeda
11 Androedae,23 19 29.79,+48 37 30.7,5.44,Androeda
36 Androedae,00 54 58.02,+23 37 42.4,5.46,Androeda
15 Androedae,23 34 37.55,+40 14 11.6,5.55,Androeda
63 Androedae,02 20 58.17,+50 09 05.5,5.57,Androeda
47 Androedae,01 23 40.56,+37 42 54.0,5.6,Androeda
44 Androedae,01 10 18.85,+42 04 53.7,5.67,Androeda
5 Androedae,23 07 45.25,+49 17 43.6,5.68,Androeda
HD 5788,01 00 03.55,+44 42 47.9,5.69,Androeda
56 Androedae,01 56 09.23,+37 15 06.5,5.69,Androeda
23 Androedae,00 13 30.94,+41 02 08.6,5.71,Androeda
13 Androedae,23 27 07.33,+42 54 43.1,5.75,Androeda
12 Androedae,23 20 53.17,+38 10 56.9,5.77,Androeda
45 Androedae,01 11 10.29,+37 43 26.9,5.8,Androeda
10 Androedae,23 19 52.38,+42 04 40.9,5.81,Androeda
HD 222109,23 37 32.03,+44 25 44.5,5.81,Androeda
HD 224635,23 59 29.33,+33 43 26.9,5.81,Androeda
OU Androedae,23 49 40.96,+36 25 31.4,5.86,Androeda
HD 2767,00 31 25.61,+33 34 54.1,5.88,Androeda
HD 1606,00 20 24.39,+30 56 08.2,5.89,Androeda
KK Androedae,01 34 16.60,+37 14 13.9,5.9,Androeda
6 Androedae,23 10 27.36,+43 32 41.1,5.91,Androeda
39 Androedae,01 02 54.28,+41 20 42.7,5.95,Androeda
9 Androedae,23 18 23.33,+41 46 25.3,5.98,Androeda
HD 5608,00 58 14.19,+33 57 03.8,5.99,Androeda
HD 3883,00 41 35.98,+24 37 44.6,6.06,Androeda
HD 166,00 06 36.53,+29 01 19.0,6.07,Androeda
HD 223229,23 47 33.05,+46 49 57.3,6.08,Androeda
59 Androedae,02 10 52.83,+39 02 22.5,6.09,Androeda
26 Androedae,00 18 42.15,+43 47 28.1,6.1,Androeda
HD 225218,00 04 36.60,+42 05 33.2,6.11,Androeda
HD 1185,00 16 21.50,+43 35 42.4,6.12,Androeda
GO Androedae,00 50 18.21,+45 00 08.1,6.13,Androeda
66 Androedae,02 27 51.75,+50 34 12.7,6.16,Androeda
HD 221776,23 34 46.73,+38 01 26.3,6.18,Androeda
HD 221246,23 30 07.39,+49 07 59.3,6.19,Androeda
OP Androedae,01 36 27.21,+48 43 22.2,6.2,Androeda
HD 895,00 13 23.93,+26 59 15.4,6.24,Androeda
HD 220105,23 20 44.11,+44 06 58.5,6.25,Androeda
HD 2942,00 32 49.09,+28 16 48.8,6.26,Androeda
HD 8673,01 26 08.62,+34 34 47.7,6.34,Androeda
CG Androedae,00 00 43.62,+45 15 12.0,6.36,Androeda
LN Androedae,23 02 45.15,+44 03 31.6,6.37,Androeda
V385 Androedae,23 24 08.88,+41 36 46.3,6.37,Androeda
GY Androedae,01 38 31.84,+45 23 58.9,6.38,Androeda
